UniqueID,Q2,Q11,Q10,Q12,Q13,Q14,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1
223,"Yes, I consent",Male,4.5,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
118,"Yes, I consent",Male,1,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
80,"Yes, I consent",Male,17,Yes,No,RN,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
37,"Yes, I consent",Female,3,No,No,BSN,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
60,"Yes, I consent",Male,5,No,No,BSN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
125,"Yes, I consent",Female,4,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
49,"Yes, I consent",Female,28,Yes,No,BSN,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
207,"Yes, I consent",Female,5,Yes,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
57,"Yes, I consent",Female,13,No,No,BSN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
